"Question Keywords","Answer"
"calories apple","An average medium apple (about 182g) has around 95 calories, mostly from carbohydrates and natural sugars."
"protein chicken breast","100g of cooked, skinless chicken breast typically contains about 31g of high-quality protein and is relatively low in fat."
"substitute eggs baking","Common egg substitutes in baking (per egg) include: 1/4 cup applesauce, 1/4 cup mashed banana, 1 tbsp flaxseed meal mixed with 3 tbsp water (flax egg), or 1/4 cup silken tofu blended."
"quinoa gluten free","Yes, quinoa is a naturally gluten-free pseudocereal. It's considered a complete protein, containing all nine essential amino acids."
"healthy snack ideas","Healthy snacks include: fruit (apple, banana, berries), a small handful of nuts (almonds, walnuts), Greek yogurt, vegetable sticks (carrots, celery, cucumber) with hummus, hard-boiled eggs, edamame, or cottage cheese."
"cook brown rice","Use a 1:2 ratio of rice to water/broth (e.g., 1 cup rice, 2 cups liquid). Bring to a boil, reduce heat, cover, and simmer for 40-50 minutes until liquid is absorbed. Let stand covered for 10 minutes before fluffing."
"macros salmon","A 100g serving of cooked Atlantic salmon has roughly 200-220 calories, 22-25g protein, 12-15g fat (rich in omega-3s), and 0g carbs."
"difference white brown rice","Brown rice is a whole grain including the bran, germ, and endosperm, offering more fiber, vitamins (like B vitamins), and minerals (like magnesium, selenium). White rice has the bran and germ removed, resulting in lower nutrient content but a softer texture and quicker cooking time."
"benefit omega 3","Omega-3 fatty acids (EPA & DHA) support heart health by potentially lowering triglycerides and blood pressure, brain function and development, eye health, and reducing inflammation throughout the body."
"what are macronutrients","Macronutrients are the primary nutrients needed in large amounts: Carbohydrates (provide energy), Proteins (build and repair tissues, make enzymes/hormones), and Fats (provide energy, support cell growth, protect organs, absorb certain vitamins)."
"what are micronutrients","Micronutrients are essential vitamins and minerals needed in smaller quantities but vital for health, growth, and disease prevention. Examples include Vitamin C, Vitamin D, Iron, Calcium, Zinc, etc."
"sugar daily limit","The American Heart Association recommends limiting added sugars to no more than 25g (6 teaspoons) per day for women and 36g (9 teaspoons) per day for men. This doesn't include natural sugars found in fruits or milk."
"hydrate water much","General guidance is about 8 cups (64 oz or ~2 liters) of total fluid per day, but individual needs vary based on activity, climate, health status, etc. Listen to your body's thirst cues."
"source vitamin c","Excellent sources of Vitamin C include citrus fruits (oranges, grapefruit, lemons), bell peppers (especially red), strawberries, kiwi, broccoli, Brussels sprouts, and tomatoes."
"source iron","Heme iron (better absorbed) is found in red meat, poultry, and fish. Non-heme iron is found in plant foods like lentils, beans, tofu, spinach, fortified cereals, and pumpkin seeds. Consuming Vitamin C with non-heme iron sources enhances absorption."
"calcium important","Calcium is vital for building and maintaining strong bones and teeth, muscle contraction, nerve transmission, and blood clotting. Key sources are dairy products, fortified plant milks, leafy greens (kale, collards), tofu (set with calcium), and almonds."
